video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"xuexbvO29Gk","임영웅 - 모래 알갱이 M/V","2023-06-03T14:00:38Z","UC3WZlO2Zl8NE1yIUgtwUtQw","임영웅","10","23.08.06","미스터트롯|트로트|임영웅|트로트영웅|포천의아들|아침마당|판듀|전국노래자랑|영웅|홍대트로트|뭣이중헌디|계단말고 엘리베이터|kbs|가요무대|도전꿈의무대|박서진|진달래|천재원|명지|성국|미스트롯|장윤정|박현빈|박상철|박구윤|현장스케치|예능|트롯|TV조선|사랑의콜센타|뽕숭아학당|hero|imhero|이제나만믿어요|이나믿|별빛같은나의사랑아|별나사","2872450","0","0","21671","https://i.ytimg.com/vi/xuexbvO29Gk/default.jpg","False","True","#임영웅 #LimYoungWoong #모래알갱이임영웅 웅튜브 구독♡좋아요♡알람설정열심히 할게요/당신도 누를 수 있도록 Lim Young Woong  [I'm HERO] Youtube ChannelSubscribe Like Alert Setting Thank You♡공식 팬카페 [영웅시대]http://cafe.daum.net/hero0616"
"ktZ3XR887wk","직접 보고 왔습니다. 애플이 만든 500만원짜리 VR '비전 프로' 총정리!","2023-06-06T10:00:36Z","UCdUcjkyZtf-1WJyPPiETF1g","ITSub잇섭","28","23.08.06","애플|애플 비전 프로|비전 프로|apple|apple vision pro|vision pro|애플 vr|애플 mr|애플 ar|애플 비전|wwdc|wwdc 2023|wwdc23|잇섭 vr|잇섭 애플|잇섭 비전 프로|비전 프로 실물|비전 프로 디자인|apple vision pro hands on","1151672","0","0","3178","https://i.ytimg.com/vi/ktZ3XR887wk/default.jpg","False","True","애플에서 처음으로 행사 초대 받았습니다. WWDC 2023을 보기 위해 미국에 와있는데, 크게 기대하지 않았지만 오랜 루머 끝에. 애플의 새로운 AR/VR 형태인 Vision Pro를 공개했고, 실물을 본 경험과 총정리를 해봤습니다!🔋 Specs.모델명 : Apple Vision Pro프로세서 : 애플 M2 + 애플 R1내부 디스플레이 : 2300만백만개의 필셀, 눈 한쪽당 4K TV 보다 더 많은 수치외부 디스플레이 : 커브드 OLED넓이 : 100피트(1,200인치)스피커 : 듀얼 드라이버로 구성된 공간음향 시스템배터리 : 2시간특징 : EyeSight, OpticID가격 : $3499⏲️ Timestamps.00:00 어? 아시네요?00:12 오프닝01:09 Vision Pro란?01:41 디자인02:55 디스플레이04:29 인터페이스&작동방식06:07 즐길 수 있는 콘텐츠는?08:23 기존 VR과 다른 EyeSight10:17 스피커11:07 성능13:11 Vision Pro를 본 소감 요약 정리🎵 Music.ES_Linearity - JobiiES_ICON (Instrumental Version) - Janset👕 Merch.지금 입고있는 옷? : https://abit.ly/blackcowlabs📧 Business contacts. itsub@itud.io#애플 #비전프로 #WWDC2023"
"reYygUv-hys","아무도 모를 거야","2023-06-06T13:16:27Z","UCXEKwWflysXu312NmIP_dlw","너덜트","23","23.08.06","유현규|전상협|임재형|스케치코미디|숏박스|nerdult|shortbox|skit|short movie|comic movie|comedy video|회사커플|사내연애|사내커플|비밀연애|비밀사내연애|CC|캠퍼스커플|스파이|결혼|예비부부|퇴사|권고사직|혼인신고|직장동료|블라인드|카풀|연차|오지랖|쿠팡플레이|지팔지꼰|탕비실데이트|옥상데이트|비상계단데이트|회식|사내썸|그린라이트|workplace romance|Office romance|솔로지옥|짝|직장인커플|직장인연애|가연|하트시그널|환승연애|직장로맨스","1770172","0","0","3241","https://i.ytimg.com/vi/reYygUv-hys/default.jpg","False","True","#코믹숏무비 #너덜트 #사내연애사내 연애를 들키지 않기 위한 한 커플의 사내 생존 스릴러김 사원 (사내연애자) 역 / 김아영인스타그램https://www.instagram.com/aoung__전 사원 (사내연애자) 역 / 전상협인스타그램https://www.instagram.com/j_negotiation신 대리 역 / 신민주인스타그램https://www.instagram.com/godminjoo유 대리 역 / 유현규인스타그램https://www.instagram.com/gyuis_임 대표 역 / 임재형인스타그램https://www.instagram.com/jaehyung_log너덜트 공식 인스타그램https://www.instagram.com/nerd_ult"
"eL5YCLoaHoo","출산했습니다","2023-06-07T10:00:33Z","UCoPTIaKWLi3vtImEQrx32Ew","헌터퐝","22","23.08.06","헌터퐝 은혜 출산|쭈팡이 출산|출산 브이로그|제왕절개","470597","0","0","6448","https://i.ytimg.com/vi/eL5YCLoaHoo/default.jpg","False","True","라랑하는 곰퐝이 여러분!여러분들의 응원 덕에 쭈팡이가 무사히 세상에 태어났습니다..정말 너무 감사합니다..그리고 출산의 고통은 엄청나더라구요...고생해준 은혜한테도 너무 고맙네요..재미있게 보세요!너무 감사합니다..-----------------------------------------------------------------------------------------------------------------------------------다양한 생물을 보여드리고 있습니다.다양한 생물을 잡아서 요리 해 먹습니다.잘 접하지 못 하는 바다 생물을 키웁니다.그 어떤 생물 이라도 다 잡습니다.항상 재미있게 할게요!비즈니스 문의 - hunterfwang@naver.com헌터퐝 인스타 - https://www.instagram.com/hunter_fwang"
"QyBdhdz7XM4","[U-20 8강] 대한민국 4강 진출!! 이탈리아 나와!! (풀 하이라이트)","2023-06-04T20:17:03Z","UCYRrUD5v5j_Ei8sKOo7mhoQ","엠빅뉴스","17","23.08.06","U20|축구|한국나이지리아|엠빅뉴스|MBC스포츠|KBS스포츠|SBS스포츠|엠빅스포츠|한국나이지리아중계|한국나이지리아골장면|한국나이지리아하이라이트|스포츠머그|연장전|연장|골|최석현|김은중|4강|4강진출|이탈리아","3456141","0","0","3576","https://i.ytimg.com/vi/QyBdhdz7XM4/default.jpg","False","True","대한민국 U-20 월드컵 대표팀이 사상 처음으로 연속 4강 진출을 이뤄냈습니다. 연장 전반 5분 최석현이 16강 에콰도르전 골과 판박이와 같은 호쾌한 헤더골을 기록하면서 1-0으로 승리했습니다. 대한민국은 오는 9일(금) 새벽 6시 이탈리아와 4강전을 치릅니다. #U20월드컵 #4강진출 #대한민국 #나이지리아 #8강"
"TX9qSaGXFyg","Introducing Apple Vision Pro","2023-06-05T19:08:16Z","UCE_M8A5yxnLfW0KghEeajjw","Apple","28","23.08.06","Apple|Apple Vision Pro|spatial computing|spatial computer|spatial photos|spatial videos|spatial cinema|Apple 3D Camera|Infinite Canvas|Environments|FaceTime|EyeSight|visionOS|Spatial Audio|Light Seal|Head Band|M2 Chip|R1 Chip|Dual-Chip Performance|23 million pixels|Audio Raytracing|Digital Crown|Persona|Micro-OLED Display|All-day Use|High-performance battery|augmented reality|spatial interface|apps|entertainment|gaming","23402809","0","0","0","https://i.ytimg.com/vi/TX9qSaGXFyg/default.jpg","True","True","The era of spatial computing is here, where digital content blends seamlessly with your physical space. So you can do the things you love in ways never before possible. This is Apple Vision Pro.Learn More: https://apple.co/43DmFHfAudio Descriptions: https://apple.co/441jo4j00:00 Introduction01:35 Photos and videos02:41 Entertainment03:38 Work04:21 FaceTime05:39 Design07:09 Technology08:45 Ending“Let's Live” by FKJ https://apple.co/FKJWant Me Anyway by Aye June https://apple.co/AyeJuneTransmit by Fyfe, Iskra Strings https://apple.co/FyfeIskraStringsNew Horizons by Little DragonA.I. by Hark Madley https://apple.co/HarkMadleyWaves by StayLoose, Lucy Daydream https://apple.co/StaylooseLucyDaydreamFree by Bakar https://apple.co/Bakar#AppleVisionPro #WWDC23 #AppleEventWelcome to the official Apple YouTube channel. Here you’ll find news about product launches, tutorials, and other great content. Our more than 160,000 employees are dedicated to making the best products on earth, and to leaving the world better than we found it."
"aINon9v_g7c","김호중[Kim Hojoong] Love In Portofino","2023-06-05T00:00:00Z","UC73yn5mmJSr3hh9jKe2AdWw","김호중 공식채널 Kim Hojoong","24","23.08.06","[none]","390094","0","0","5416","https://i.ytimg.com/vi/aINon9v_g7c/default.jpg","False","True","김호중[Kim Hojoong] Love In Portofino김호중 클래식 콘서트#김호중 #classic #LoveInPortofino #concert#kimhojoong #트바로티 #tvarotti"
"DoknUzz4Dfo","[메추리 오남매] 디아블로","2023-06-06T09:00:02Z","UChbE5OZQ6dRHECsX0tEPEZQ","장삐쭈","23","23.08.06","[none]","807553","0","0","2007","https://i.ytimg.com/vi/DoknUzz4Dfo/default.jpg","False","True","스튜디오 장삐쭈기획 및 대본 : 장삐쭈, 허혜원, 지정민애니메이션 : 정대준, 원동우, 이혜민https://diablo4.blizzard.com/ko-kr/도적 상향좀"
"QrYIOjs7K8E","fromis_9 (프로미스나인) '#menow' Official MV","2023-06-05T08:58:12Z","UC3IZKseVpdzPSBaWxBxundA","HYBE LABELS","10","23.08.06","HYBE|HYBE LABELS|하이브|하이브레이블즈","12389169","0","0","12002","https://i.ytimg.com/vi/QrYIOjs7K8E/default.jpg","False","True","fromis_9 (프로미스나인) '#menow' Official MV#fromis_9 #프로미스나인 #Unlock_My_WorldCredits : Production : KUDODirector : Guzza(KUDO)Creative Director : Kim JuheeAssistant Director : Yu Sungwon, Lim HyunheeProduction Assistant : Kim Hyuk, Lee Seungchae, Sturmheit Jana, Lim Jeeyoon, Hwang Jinhee, Kim Wookyeon, Jang Seeng, Hwang SoonnyeungProducer : Emma Sungeun Kim (GE Production)Production manager : Shin YujaeProduction assistant: An Juyoung, Choi Seungwon, Kim Hyoseok, Seo Minho, Bark Chungheon, Hwang DongyeonDirector of Photography : Seo Giung (Line of Sight)Focus Puller : Hong minhyuk, Jeon seungbeom2nd : Kim jeduckDIT :  Kim jaeho3rd :  Jeon hyunbaeJimmy Jib Operator : Kim KitaeJimmy Jib Assistant : Lee Seokchan, Bing Junghyun, Yoo SeungminTechnocrane Operator : Lee DongjinTechnocrane Assistant : Lee Jiyong, Yoo Jeonghyun, Jung SungeumKey Grip : Kim JiminGrip Team : Hong Sungin, Won Heejea, Lee SanghoGaffer : Oh JonghwanLighting Team : Kim Hyunggyun, Lee Kyunghwan, Choi Beomseok, Jung Juho, Jung Heywook, Yoon Jaeung, An Beomyun, Seo Jinhyun, Gan Guhyun, Jeong SeungminShow Light : J SHOW COMPANYArt Director : Yun InsolArt Team : Lee Hyeonna, Ko Yujin, HyonaKang Dahyun, Baek HwandyekSFX : Park  Kyoungsoo (JUST)SFX team : Kim  Changsok, Choi  Minjun, Kim  Changhee, Lee  DongyoonSound Design : Ahn joseph (Keatsseoul)VFX STUDIO : SECOND FLOORVFX Supervisor : Byun Daeyoung2D Composite Lead : Lee Ayoung2D Composite Artist : Ko Youngjun, Kim Cheayoung3D/FX Artist : Kang Hyeju, You Geoyoung, Zinzin, Jang SeokjooProject Manager : Kim SeoyunMatte Painter : Oh Hyungjo2D Composite : Kim DohanDigital Intermediate : RIBBONExecutive Producer :  Han SungsooConnect with fromis_9Official Homepage : https://www.pledis.co.kr/html/artist/fromisnineOfficial YouTube : https://www.youtube.com/c/Officialfromis9Official Twitter : https://twitter.com/realfromis_9Official Instagram : https://www.instagram.com/officialfromis_9Official Facebook : https://www.facebook.com/officialfromis9Official TikTok : https://www.tiktok.com/@official_fromis9Official Weverse : https://www.weverse.io/fromis9ⓒ PLEDIS Entertainment. All Rights Reserved"
"VAsWou2k_ag","[ENG] [#퀸덤퍼즐] EXCLUSIVE PREVIEW | 6/13(화) 밤 10시 첫 방송","2023-06-06T13:00:10Z","UCbD8EppRX3ZwJSou-TVo90A","Mnet K-POP","20","23.08.06","엠넷|mnet|kpop|k-pop|엠카운트다운|엠카|m countdown|mcd","709246","0","0","3517","https://i.ytimg.com/vi/VAsWou2k_ag/default.jpg","False","True","[#퀸덤퍼즐] EXCLUSIVE PREVIEW | 6/13(화) 밤 10시 첫 방송걸그룹 최상의 조합을 완성하라! Mnet 〈퀸덤퍼즐〉 6월 13일 (화) 밤 10시 첫 방송6.13 (TUE) 10PM (KST) #퀸덤퍼즐 #QUEENDOMPUZZLE #퀸덤 #Mnet #엠넷"
